Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)"
1,0,0,2000,1730631438693,1730631438717,331126
2,0,8000,2000,1730631443722,1730631443763,10396882
3,0,14000,2000,1730631448726,1730631448753,20350971
4,0,22000,2000,1730631453741,1730631453775,30372838
5,0,30000,2000,1730631458732,1730631458761,40323808
6,0,38000,2000,1730631463756,1730631463788,50357722
7,0,46000,2000,1730631468729,1730631468781,60324881
8,0,54000,2000,1730631473732,1730631473760,70264159
9,0,62000,2000,1730631478745,1730631478776,64188475
10,0,70000,2000,1730631483766,1730631483799,74207234
11,0,78000,2000,1730631488744,1730631488774,84126746
12,0,86000,2000,1730631493764,1730631493794,94143688
13,0,94000,2000,1730631498768,1730631498799,104132838
14,0,102000,2000,1730631503752,1730631503787,114088195
15,0,110000,2000,1730631508784,1730631508816,124125126
16,0,116000,2000,1730631513787,1730631513817,134107042
17,0,124000,2000,1730631518772,1730631518804,127997514
18,0,124000,2000,1730631523803,1730631523840,138039326
19,0,122000,2000,1730631528783,1730631528809,147950875
20,0,120000,2000,1730631533766,1730631533795,157900360
21,0,118000,2000,1730631538802,1730631538827,167943108
22,0,116000,2000,1730631543796,1730631543824,177918607
23,0,114000,2000,1730631548780,1730631548813,187877463
24,0,112000,2000,1730631553776,1730631553804,197841713
25,0,110000,2000,1730631558812,1730631558851,191819987
26,0,108000,2000,1730631563786,1730631563819,201688867
27,0,106000,2000,1730631568821,1730631568854,211734820
28,0,104000,2000,1730631573814,1730631573847,221697795
29,0,102000,2000,1730631578818,1730631578847,231675338
30,0,100000,2000,1730631583817,1730631583844,241648878
31,0,98000,2000,1730631588805,1730631588838,251616985
32,0,96000,2000,1730631593807,1730631593841,261603900
33,0,94000,2000,1730631598837,1730631598866,255549178
34,0,92000,2000,1730631603814,1730631603856,265504825
35,0,90000,2000,1730631608835,1730631608864,275499072
36,0,88000,2000,1730631613816,1730631613845,285436772
37,0,86000,2000,1730631618827,1730631618853,295432810
38,0,84000,2000,1730631623794,1730631623831,305367939
39,0,82000,2000,1730631628820,1730631628844,315373842
40,0,80000,2000,1730631633825,1730631633883,325433745
41,0,78000,2000,1730631638803,1730631638837,319240287
42,0,76000,2000,1730631643839,1730631643870,329266655
43,0,74000,2000,1730631648823,1730631648853,339200637
44,0,72000,2000,1730631653817,1730631653842,349154550
45,0,70000,2000,1730631658824,1730631658853,359151951
46,0,68000,2000,1730631663835,1730631663874,369170744
47,0,66000,2000,1730631668948,1730631668993,379389172
48,0,64000,2000,1730631673882,1730631673936,389257386
49,0,62000,2000,1730631678832,1730631678863,383018705
50,0,60000,2000,1730631683826,1730631683859,392979429
51,0,58000,2000,1730631688815,1730631688846,402929196
52,0,56000,2000,1730631693833,1730631693870,412953208
53,0,54000,2000,1730631698859,1730631698898,422986117
54,0,52000,2000,1730631703855,1730631703917,433004646
55,0,50000,2000,1730631708842,1730631708872,442896283
56,0,48000,2000,1730631713862,1730631713918,452971239
57,0,46000,2000,1730631718830,1730631718858,446751786
58,0,44000,2000,1730631723827,1730631723861,456729270
59,0,42000,2000,1730631728849,1730631728951,466884837
60,0,40000,2000,1730631733874,1730631733902,476766696
61,0,38000,2000,1730631739061,1730631739111,487163168
62,0,36000,2000,1730631743894,1730631743944,496810980
63,0,34000,2000,1730631748872,1730631748903,506710339
64,0,32000,2000,1730631753833,1730631753863,516610165
65,0,30000,2000,1730631758838,1730631758874,510527957
66,0,28000,2000,1730631763867,1730631763901,520554917
67,0,26000,2000,1730631768867,1730631768899,530530945
68,0,24000,2000,1730631773889,1730631773911,540536156
69,0,22000,2000,1730631778831,1730631778864,550422429
70,0,20000,2000,1730631783849,1730631783880,560434993
71,0,18000,2000,1730631788863,1730631788895,570447131
72,0,16000,2000,1730631793824,1730631793861,580357420
73,0,14000,2000,1730631798859,1730631798891,574331784
74,0,12000,2000,1730631803899,1730631803956,584434828
75,0,10000,2000,1730631808844,1730631808878,594256208
76,0,8000,2000,1730631813860,1730631813891,604259026
77,0,6000,2000,1730631818836,1730631818862,614182275
78,0,4000,2000,1730631823869,1730631823898,624234288
79,0,2000,2000,1730631828839,1730631828873,634157920
80,0,0,2000,1730631833864,1730631833907,644203484
81,0,0,0,1730631838722,1730631838757,0
82,0,0,0,1730631843722,1730631843756,0
83,0,0,0,1730631848723,1730631848753,0
