Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)"
1,0,0,0,1731603608257,1731603608265,0
2,0,8000,2000,1731603613448,1731603613512,10437813
3,0,16000,2000,1731603618478,1731603618540,20381141
4,0,24000,2000,1731603623482,1731603623553,30295915
5,0,30000,2000,1731603628485,1731603628552,40188126
6,0,38000,2000,1731603633516,1731603633583,50153076
7,0,46000,2000,1731603638515,1731603638586,60068412
8,0,54000,2000,1731603643524,1731603643582,69974137
9,0,62000,2000,1731603648502,1731603648564,79861467
10,0,68000,2000,1731603653483,1731603653550,73527134
11,0,76000,2000,1731603658518,1731603658581,83507042
12,0,84000,2000,1731603663535,1731603663607,93457654
13,0,90000,2000,1731603668544,1731603668602,103348753
14,0,98000,2000,1731603673521,1731603673578,113224736
15,0,106000,2000,1731603678557,1731603678628,123259935
16,0,114000,2000,1731603683588,1731603683648,133217872
17,0,122000,2000,1731603688610,1731603688671,143182808
18,0,126000,2000,1731603693580,1731603693631,136801948
19,0,124000,2000,1731603698571,1731603698641,146767825
20,0,122000,2000,1731603703554,1731603703611,156644749
21,0,120000,2000,1731603708553,1731603708611,166555660
22,0,118000,2000,1731603713596,1731603713658,176583857
23,0,116000,2000,1731603718586,1731603718650,186493566
24,0,114000,2000,1731603723564,1731603723624,196360253
25,0,112000,2000,1731603728550,1731603728609,206250277
26,0,110000,2000,1731603733580,1731603733637,200015290
27,0,108000,2000,1731603738572,1731603738628,209905699
28,0,106000,2000,1731603743605,1731603743660,219879475
29,0,104000,2000,1731603748655,1731603748738,229947367
30,0,102000,2000,1731603753674,1731603753742,239878667
31,0,100000,2000,1731603758607,1731603758664,249641686
32,0,98000,2000,1731603763594,1731603763667,259567946
33,0,96000,2000,1731603768582,1731603768637,269453889
34,0,94000,2000,1731603773575,1731603773641,263204584
35,0,92000,2000,1731603778599,1731603778649,273132763
36,0,90000,2000,1731603783600,1731603783655,283056263
37,0,88000,2000,1731603788590,1731603788656,292959137
38,0,86000,2000,1731603793621,1731603793683,302931144
39,0,84000,2000,1731603798587,1731603798648,312783176
40,0,82000,2000,1731603803606,1731603803663,322738068
41,0,80000,2000,1731603808596,1731603808658,332649641
42,0,78000,2000,1731603813605,1731603813676,326395477
43,0,76000,2000,1731603818627,1731603818693,336340347
44,0,74000,2000,1731603823610,1731603823665,346200355
45,0,72000,2000,1731603828614,1731603828679,356146797
46,0,70000,2000,1731603833602,1731603833658,366025078
47,0,68000,2000,1731603838645,1731603838714,376057565
48,0,66000,2000,1731603843606,1731603843669,385897696
49,0,64000,2000,1731603848646,1731603848702,395892104
50,0,62000,2000,1731603853654,1731603853708,389622827
51,0,60000,2000,1731603858653,1731603858712,399546236
52,0,58000,2000,1731603863611,1731603863677,409396484
53,0,56000,2000,1731603868590,1731603868651,419260363
54,0,54000,2000,1731603873650,1731603873702,429288941
55,0,52000,2000,1731603878622,1731603878679,439172753
56,0,50000,2000,1731603883637,1731603883691,449119887
57,0,48000,2000,1731603888642,1731603888703,459072609
58,0,46000,2000,1731603893695,1731603893770,452917909
59,0,44000,2000,1731603898643,1731603898698,462722556
60,0,42000,2000,1731603903618,1731603903679,472615781
61,0,40000,2000,1731603908664,1731603908720,482622065
62,0,38000,2000,1731603913686,1731603913744,492583360
63,0,36000,2000,1731603918664,1731603918726,502470740
64,0,34000,2000,1731603923650,1731603923707,512371176
65,0,32000,2000,1731603928635,1731603928687,522263081
66,0,30000,2000,1731603933608,1731603933668,515926497
67,0,28000,2000,1731603938654,1731603938713,525931798
68,0,26000,2000,1731603943640,1731603943695,535832164
69,0,24000,2000,1731603948646,1731603948706,545775475
70,0,22000,2000,1731603953645,1731603953701,555696998
71,0,20000,2000,1731603958700,1731603958777,565788579
72,0,18000,2000,1731603963694,1731603963743,575645999
73,0,16000,2000,1731603968654,1731603968711,585524271
74,0,14000,2000,1731603973799,1731603973858,579524707
75,0,12000,2000,1731603978775,1731603978833,589408433
76,0,10000,2000,1731603983656,1731603983710,599092289
77,0,8000,2000,1731603988666,1731603988721,609039335
78,0,6000,2000,1731603993677,1731603993732,619000486
79,0,4000,2000,1731603998650,1731603998707,628876307
80,0,2000,2000,1731604003638,1731604003693,638786614
81,0,0,2000,1731604008676,1731604008745,648823083
82,0,0,0,1731604013301,1731604013310,0
83,0,0,0,1731604018302,1731604018309,0
84,0,0,0,1731604023303,1731604023311,0
